Time id,Material,Material_Id,Quantity,Total_Value
6,S02-060362,34400.0,40.0,428294.8
7,S02-060362,34400.0,88.0,942248.559999999
8,S02-060362,34400.0,98.0,1049322.25999999
9,S02-060362,34400.0,102.0,1092020.5
10,S02-060362,34400.0,86.0,919744.2
11,S02-060362,34400.0,56.0,598583.48
12,S02-060362,34400.0,74.0,790555.5
13,S02-060362,34400.0,82.0,875383.9
14,S02-060362,34400.0,52.0,555097.399999999
15,S02-060362,34400.0,76.0,958330.159999999
16,S02-060362,34400.0,78.0,855147.42
17,S02-060362,34400.0,48.0,537816.16
18,S02-060362,34400.0,98.0,1050324.68
19,S02-060362,34400.0,82.0,878491.62
20,S02-060362,34400.0,80.0,852560.0
21,S02-060362,34400.0,114.0,1214898.0
22,S02-060362,34400.0,104.0,1108825.21999999
23,S02-060362,34400.0,96.0,1024410.46
24,S02-060362,34400.0,130.0,1386774.42
25,S02-060362,34400.0,160.0,1706595.33999999
26,S02-060362,34400.0,142.0,1514402.06
27,S02-060362,34400.0,130.0,1392730.39999999
28,S02-060362,34400.0,104.0,1069030.03999999
29,S02-060362,34400.0,114.0,1159228.19999999
30,S02-060362,34400.0,78.0,788968.38
31,S02-060362,34400.0,128.0,1292120.32
32,S02-060362,34400.0,116.0,1170316.86
33,S02-060362,34400.0,104.0,1044195.28
34,S02-060362,34400.0,94.0,943774.679999999
35,S02-060362,34400.0,90.0,903612.1
36,S02-060362,34400.0,146.0,1465858.45999999
37,S02-060362,34400.0,170.0,1706817.19999999
38,S02-060362,34400.0,24.0,240961.439999999
23,C87-200560,34313.0,3.0,313663.58
24,C87-200560,34313.0,9.0,940912.21
25,C87-200560,34313.0,5.0,524145.8
26,C87-200560,34313.0,11.0,1131886.47
27,C87-200560,34313.0,12.0,1242469.34
28,C87-200560,34313.0,8.0,837220.0
29,C87-200560,34313.0,8.0,828617.39
30,C87-200560,34313.0,24.0,2485564.15
31,C87-200560,34313.0,11.0,1141669.48
32,C87-200560,34313.0,7.0,727746.27
33,C87-200560,34313.0,15.0,1558668.48
34,C87-200560,34313.0,9.0,935415.21
35,C87-200560,34313.0,9.0,937436.929999999
36,C87-200560,34313.0,5.0,519776.36
37,C87-200560,34313.0,5.0,515782.21
38,C87-200560,34313.0,8.0,818096.25
1,S02-060446,34400.0,14.0,263655.5
2,S02-060446,34400.0,24.0,452767.92
3,S02-060446,34400.0,20.0,377421.3
4,S02-060446,34400.0,32.0,603901.44
6,S02-060446,34400.0,32.0,603901.44
7,S02-060446,34400.0,20.0,377438.4
8,S02-060446,34400.0,66.0,1245546.71999999
9,S02-060446,34400.0,34.0,641645.279999999
10,S02-060446,34400.0,30.0,566157.599999999
11,S02-060446,34400.0,46.0,868264.299999999
12,S02-060446,34400.0,14.0,280807.54
13,S02-060446,34400.0,42.0,912941.72
14,S02-060446,34400.0,44.0,897724.1
15,S02-060446,34400.0,52.0,1044090.17999999
16,S02-060446,34400.0,46.0,916714.94
17,S02-060446,34400.0,46.0,884218.2
18,S02-060446,34400.0,60.0,1151292.31999999
19,S02-060446,34400.0,48.0,919273.6
20,S02-060446,34400.0,46.0,869880.6
21,S02-060446,34400.0,42.0,794068.999999999
22,S02-060446,34400.0,80.0,1511970.62
23,S02-060446,34400.0,70.0,1322671.96
24,S02-060446,34400.0,82.0,1547870.2
25,S02-060446,34400.0,72.0,1351371.36
26,S02-060446,34400.0,62.0,1162752.96
27,S02-060446,34400.0,54.0,1012745.06
28,S02-060446,34400.0,46.0,858785.9
29,S02-060446,34400.0,32.0,596311.74
30,S02-060446,34400.0,52.0,965622.839999999
31,S02-060446,34400.0,60.0,1114180.19999999
32,S02-060446,34400.0,46.0,852698.46
33,S02-060446,34400.0,58.0,1065046.9
34,S02-060446,34400.0,46.0,839396.96
35,S02-060446,34400.0,60.0,1087429.44
36,S02-060446,34400.0,72.0,1297254.24
37,S02-060446,34400.0,54.0,968703.3
38,S02-060446,34400.0,54.0,967724.9
19,E51-200-001,34342.0,6.0,490306.05
20,E51-200-001,34342.0,14.0,1144307.85
21,E51-200-001,34342.0,12.0,1000761.1
22,E51-200-001,34342.0,8.0,669920.73
23,E51-200-001,34342.0,12.0,1011557.37
24,E51-200-001,34342.0,20.0,1681689.9
25,E51-200-001,34342.0,16.0,1345532.1
26,E51-200-001,34342.0,8.0,669793.0
27,E51-200-001,34342.0,11.0,920381.0
28,E51-200-001,34342.0,7.0,605215.0
29,E51-200-001,34342.0,14.0,1196800.5
30,E51-200-001,34342.0,9.0,768108.48
31,E51-200-001,34342.0,15.0,1286284.02
32,E51-200-001,34342.0,21.0,1793612.0
33,E51-200-001,34342.0,16.0,1367584.0
34,E51-200-001,34342.0,5.0,428638.66
35,E51-200-001,34342.0,7.0,606564.34
36,E51-200-001,34342.0,10.0,873770.0
37,E51-200-001,34342.0,12.0,1048542.0
38,E51-200-001,34342.0,9.0,783760.0
1,S10-130517,41365.0,44.0,708257.139999999
2,S10-130517,41365.0,52.0,883279.94
3,S10-130517,41365.0,63.0,1084160.48
4,S10-130517,41365.0,43.0,741320.0
6,S10-130517,41365.0,33.0,568920.0
7,S10-130517,41365.0,40.0,689600.0
8,S10-130517,41365.0,37.0,637880.0
9,S10-130517,41365.0,49.0,844760.0
10,S10-130517,41365.0,60.0,907906.639999999
11,S10-130517,41365.0,46.0,720147.05
12,S10-130517,41365.0,62.0,963276.179999999
13,S10-130517,41365.0,53.0,823460.94
14,S10-130517,41365.0,50.0,776849.98
15,S10-130517,41365.0,80.0,1252046.61
16,S10-130517,41365.0,39.0,599318.89
17,S10-130517,41365.0,69.0,1069062.3
18,S10-130517,41365.0,72.0,1125379.29
19,S10-130517,41365.0,79.0,1232648.11
20,S10-130517,41365.0,103.0,1601378.24
21,S10-130517,41365.0,98.0,1522827.98
22,S10-130517,41365.0,78.0,1211973.1
23,S10-130517,41365.0,76.0,1180836.47
24,S10-130517,41365.0,80.0,1247898.25
25,S10-130517,41365.0,55.0,858427.29
26,S10-130517,41365.0,69.0,1074517.88
27,S10-130517,41365.0,83.0,1279076.62
28,S10-130517,41365.0,67.0,1024198.71
29,S10-130517,41365.0,68.0,957745.0
30,S10-130517,41365.0,80.0,1048741.61
31,S10-130517,41365.0,73.0,957642.919999999
32,S10-130517,41365.0,52.0,678659.759999999
33,S10-130517,41365.0,77.0,1007980.45
34,S10-130517,41365.0,82.0,1071788.94
35,S10-130517,41365.0,68.0,887734.98
36,S10-130517,41365.0,67.0,875950.349999999
37,S10-130517,41365.0,43.0,561676.459999999
38,S10-130517,41365.0,80.0,1044429.82
20,SA-A46-07-0100E,41531.0,7.0,507066.0
21,SA-A46-07-0100E,41531.0,16.0,1152908.0
22,SA-A46-07-0100E,41531.0,8.0,567304.0
23,SA-A46-07-0100E,41531.0,11.0,780043.0
24,SA-A46-07-0100E,41531.0,21.0,1485843.0
25,SA-A46-07-0100E,41531.0,15.0,1047045.0
26,SA-A46-07-0100E,41531.0,9.0,631107.0
27,SA-A46-07-0100E,41531.0,21.0,1489323.0
28,SA-A46-07-0100E,41531.0,7.0,496181.0
29,SA-A46-07-0100E,41531.0,13.0,909236.0
30,SA-A46-07-0100E,41531.0,10.0,697700.0
31,SA-A46-07-0100E,41531.0,13.0,929357.0
32,SA-A46-07-0100E,41531.0,12.0,867036.0
33,SA-A46-07-0100E,41531.0,9.0,645098.0
34,SA-A46-07-0100E,41531.0,15.0,1063575.0
35,SA-A46-07-0100E,41531.0,10.0,709050.0
36,SA-A46-07-0100E,41531.0,17.0,1205385.0
37,SA-A46-07-0100E,41531.0,12.0,850860.0
38,SA-A46-07-0100E,41531.0,16.0,1134480.0
1,S02-060445,34400.0,14.0,205716.0
2,S02-060445,34400.0,24.0,352656.0
3,S02-060445,34400.0,20.0,293715.76
4,S02-060445,34400.0,32.0,469983.039999999
6,S02-060445,34400.0,32.0,469983.04
7,S02-060445,34400.0,19.0,279052.43
8,S02-060445,34400.0,66.0,969340.019999999
9,S02-060445,34400.0,34.0,499356.98
10,S02-060445,34400.0,34.0,499356.98
11,S02-060445,34400.0,42.0,617063.64
12,S02-060445,34400.0,18.0,311796.6
13,S02-060445,34400.0,42.0,747270.379999999
14,S02-060445,34400.0,44.0,726351.78
15,S02-060445,34400.0,58.0,925572.6
16,S02-060445,34400.0,44.0,696574.319999999
17,S02-060445,34400.0,46.0,691757.94
18,S02-060445,34400.0,60.0,898918.0
19,S02-060445,34400.0,48.0,716678.219999999
20,S02-060445,34400.0,46.0,678445.139999999
21,S02-060445,34400.0,46.0,677905.02
22,S02-060445,34400.0,80.0,1177294.82
23,S02-060445,34400.0,70.0,1029848.32
